year,nome,month,Number of Fires,date
1998,ACRE,January,0,1998-01-01
1999,ACRE,January,0,1999-01-01
2000,ACRE,January,0,2000-01-01
2001,ACRE,January,0,2001-01-01
2002,ACRE,January,0,2002-01-01
2003,ACRE,January,10,2003-01-01
2004,ACRE,January,0,2004-01-01
2005,ACRE,January,12,2005-01-01
2006,ACRE,January,4,2006-01-01
2007,ACRE,January,0,2007-01-01
2008,ACRE,January,0,2008-01-01
2009,ACRE,January,0,2009-01-01
2010,ACRE,January,1,2010-01-01
2011,ACRE,January,0,2011-01-01
2012,ACRE,January,0,2012-01-01
2013,ACRE,January,0,2013-01-01
2014,ACRE,January,0,2014-01-01
2015,ACRE,January,1,2015-01-01
2016,ACRE,January,12,2016-01-01
2017,ACRE,January,0,2017-01-01
1998,ACRE,February,0,1998-01-01
1999,ACRE,February,0,1999-01-01
2000,ACRE,February,0,2000-01-01
2001,ACRE,February,0,2001-01-01
2002,ACRE,February,1,2002-01-01
2003,ACRE,February,0,2003-01-01
2004,ACRE,February,3,2004-01-01
2005,ACRE,February,0,2005-01-01
2006,ACRE,February,0,2006-01-01
2007,ACRE,February,5,2007-01-01
2008,ACRE,February,0,2008-01-01
2009,ACRE,February,2,2009-01-01
2010,ACRE,February,0,2010-01-01
2011,ACRE,February,0,2011-01-01
2012,ACRE,February,0,2012-01-01
2013,ACRE,February,0,2013-01-01
2014,ACRE,February,0,2014-01-01
2015,ACRE,February,2,2015-01-01
2016,ACRE,February,5,2016-01-01
2017,ACRE,February,1,2017-01-01
1998,ACRE,March,0,1998-01-01
1999,ACRE,March,0,1999-01-01
2000,ACRE,March,11,2000-01-01
2001,ACRE,March,0,2001-01-01
2002,ACRE,March,0,2002-01-01
2003,ACRE,March,0,2003-01-01
2004,ACRE,March,0,2004-01-01
2005,ACRE,March,3,2005-01-01
2006,ACRE,March,0,2006-01-01
2007,ACRE,March,2,2007-01-01
2008,ACRE,March,0,2008-01-01
2009,ACRE,March,1,2009-01-01
2010,ACRE,March,0,2010-01-01
2011,ACRE,March,0,2011-01-01
2012,ACRE,March,1,2012-01-01
2013,ACRE,March,2,2013-01-01
2014,ACRE,March,1,2014-01-01
2015,ACRE,March,2,2015-01-01
2016,ACRE,March,0,2016-01-01
2017,ACRE,March,0,2017-01-01
1998,ACRE,April,0,1998-01-01
1999,ACRE,April,0,1999-01-01
2000,ACRE,April,1,2000-01-01
2001,ACRE,April,0,2001-01-01
2002,ACRE,April,0,2002-01-01
2003,ACRE,April,1,2003-01-01
2004,ACRE,April,2,2004-01-01
2005,ACRE,April,1,2005-01-01
2006,ACRE,April,0,2006-01-01
2007,ACRE,April,0,2007-01-01
2008,ACRE,April,0,2008-01-01
2009,ACRE,April,0,2009-01-01
2010,ACRE,April,3,2010-01-01
2011,ACRE,April,2,2011-01-01
2012,ACRE,April,1,2012-01-01
2013,ACRE,April,19,2013-01-01
2014,ACRE,April,7,2014-01-01
2015,ACRE,April,3,2015-01-01
2016,ACRE,April,0,2016-01-01
2017,ACRE,April,1,2017-01-01
1998,ACRE,May,0,1998-01-01
1999,ACRE,May,0,1999-01-01
2000,ACRE,May,1,2000-01-01
2001,ACRE,May,0,2001-01-01
2002,ACRE,May,0,2002-01-01
2003,ACRE,May,6,2003-01-01
2004,ACRE,May,7,2004-01-01
2005,ACRE,May,2,2005-01-01
2006,ACRE,May,8,2006-01-01
2007,ACRE,May,1,2007-01-01
2008,ACRE,May,0,2008-01-01
2009,ACRE,May,3,2009-01-01
2010,ACRE,May,9,2010-01-01
2011,ACRE,May,3,2011-01-01
2012,ACRE,May,3,2012-01-01
2013,ACRE,May,4,2013-01-01
2014,ACRE,May,1,2014-01-01
2015,ACRE,May,2,2015-01-01
2016,ACRE,May,21,2016-01-01
2017,ACRE,May,10,2017-01-01
1998,ACRE,June,3,1998-01-01
1999,ACRE,June,0,1999-01-01
2000,ACRE,June,1,2000-01-01
