year,state,month,Number of Fires
1998,ACRE,January,0
1998,ACRE,February,0
1998,ACRE,March,0
1998,ACRE,April,0
1998,ACRE,May,0
1998,ACRE,June,3
1998,ACRE,July,37
1998,ACRE,August,130
1998,ACRE,September,509
1998,ACRE,October,44
1998,ACRE,November,0
1998,ACRE,December,7
1999,ACRE,January,0
1999,ACRE,February,0
1999,ACRE,March,0
1999,ACRE,April,0
1999,ACRE,May,0
1999,ACRE,June,0
1999,ACRE,July,1
1999,ACRE,August,63
1999,ACRE,September,209
1999,ACRE,October,60
1999,ACRE,November,0
1999,ACRE,December,0
2000,ACRE,January,0
2000,ACRE,February,0
2000,ACRE,March,11
2000,ACRE,April,1
2000,ACRE,May,1
2000,ACRE,June,1
2000,ACRE,July,1
2000,ACRE,August,136
2000,ACRE,September,265
2000,ACRE,October,18
2000,ACRE,November,0
2000,ACRE,December,0
2001,ACRE,January,0
2001,ACRE,February,0
2001,ACRE,March,0
2001,ACRE,April,0
2001,ACRE,May,0
2001,ACRE,June,1
2001,ACRE,July,3
2001,ACRE,August,396
2001,ACRE,September,290
2001,ACRE,October,137
2001,ACRE,November,1
2001,ACRE,December,0
2002,ACRE,January,0
2002,ACRE,February,1
2002,ACRE,March,0
2002,ACRE,April,0
2002,ACRE,May,0
2002,ACRE,June,0
2002,ACRE,July,39
2002,ACRE,August,728
2002,ACRE,September,1949
2002,ACRE,October,687
2002,ACRE,November,86
2002,ACRE,December,1
2003,ACRE,January,10
2003,ACRE,February,0
2003,ACRE,March,0
2003,ACRE,April,1
2003,ACRE,May,6
2003,ACRE,June,0
2003,ACRE,July,168
2003,ACRE,August,1976
2003,ACRE,September,3942
2003,ACRE,October,740
2003,ACRE,November,15
2003,ACRE,December,1
2004,ACRE,January,0
2004,ACRE,February,3
2004,ACRE,March,0
2004,ACRE,April,2
2004,ACRE,May,7
2004,ACRE,June,5
2004,ACRE,July,42
2004,ACRE,August,645
2004,ACRE,September,1978
2004,ACRE,October,461
2004,ACRE,November,10
2004,ACRE,December,7
2005,ACRE,January,12
2005,ACRE,February,0
2005,ACRE,March,3
2005,ACRE,April,1
2005,ACRE,May,2
2005,ACRE,June,27
2005,ACRE,July,368
2005,ACRE,August,4198
2005,ACRE,September,4253
2005,ACRE,October,547
2005,ACRE,November,14
2005,ACRE,December,2
2006,ACRE,January,4
2006,ACRE,February,0
2006,ACRE,March,0
2006,ACRE,April,0
2006,ACRE,May,8
2006,ACRE,June,1
2006,ACRE,July,33
2006,ACRE,August,839
2006,ACRE,September,2370
2006,ACRE,October,316
2006,ACRE,November,18
2006,ACRE,December,0
2007,ACRE,January,0
2007,ACRE,February,5
2007,ACRE,March,2
2007,ACRE,April,0
2007,ACRE,May,1
2007,ACRE,June,4
2007,ACRE,July,29
2007,ACRE,August,960
2007,ACRE,September,2080
2007,ACRE,October,203
2007,ACRE,November,7
2007,ACRE,December,0
2008,ACRE,January,0
2008,ACRE,February,0
