"","year","state","month","fires","date"
"1",1998,"ACRE",1,0,1998-01-01
"2",1998,"ACRE",2,0,1998-02-01
"3",1998,"ACRE",3,0,1998-03-01
"4",1998,"ACRE",4,0,1998-04-01
"5",1998,"ACRE",5,0,1998-05-01
"6",1998,"ACRE",6,3,1998-06-01
"7",1998,"ACRE",7,37,1998-07-01
"8",1998,"ACRE",8,130,1998-08-01
"9",1998,"ACRE",9,509,1998-09-01
"10",1998,"ACRE",10,44,1998-10-01
"11",1998,"ACRE",11,0,1998-11-01
"12",1998,"ACRE",12,7,1998-12-01
"13",1999,"ACRE",1,0,1999-01-01
"14",1999,"ACRE",2,0,1999-02-01
"15",1999,"ACRE",3,0,1999-03-01
"16",1999,"ACRE",4,0,1999-04-01
"17",1999,"ACRE",5,0,1999-05-01
"18",1999,"ACRE",6,0,1999-06-01
"19",1999,"ACRE",7,1,1999-07-01
"20",1999,"ACRE",8,63,1999-08-01
"21",1999,"ACRE",9,209,1999-09-01
"22",1999,"ACRE",10,60,1999-10-01
"23",1999,"ACRE",11,0,1999-11-01
"24",1999,"ACRE",12,0,1999-12-01
"25",2000,"ACRE",1,0,2000-01-01
"26",2000,"ACRE",2,0,2000-02-01
"27",2000,"ACRE",3,11,2000-03-01
"28",2000,"ACRE",4,1,2000-04-01
"29",2000,"ACRE",5,1,2000-05-01
"30",2000,"ACRE",6,1,2000-06-01
"31",2000,"ACRE",7,1,2000-07-01
"32",2000,"ACRE",8,136,2000-08-01
"33",2000,"ACRE",9,265,2000-09-01
"34",2000,"ACRE",10,18,2000-10-01
"35",2000,"ACRE",11,0,2000-11-01
"36",2000,"ACRE",12,0,2000-12-01
"37",2001,"ACRE",1,0,2001-01-01
"38",2001,"ACRE",2,0,2001-02-01
"39",2001,"ACRE",3,0,2001-03-01
"40",2001,"ACRE",4,0,2001-04-01
"41",2001,"ACRE",5,0,2001-05-01
"42",2001,"ACRE",6,1,2001-06-01
"43",2001,"ACRE",7,3,2001-07-01
"44",2001,"ACRE",8,396,2001-08-01
"45",2001,"ACRE",9,290,2001-09-01
"46",2001,"ACRE",10,137,2001-10-01
"47",2001,"ACRE",11,1,2001-11-01
"48",2001,"ACRE",12,0,2001-12-01
"49",2002,"ACRE",1,0,2002-01-01
"50",2002,"ACRE",2,1,2002-02-01
"51",2002,"ACRE",3,0,2002-03-01
"52",2002,"ACRE",4,0,2002-04-01
"53",2002,"ACRE",5,0,2002-05-01
"54",2002,"ACRE",6,0,2002-06-01
"55",2002,"ACRE",7,39,2002-07-01
"56",2002,"ACRE",8,728,2002-08-01
"57",2002,"ACRE",9,1949,2002-09-01
"58",2002,"ACRE",10,687,2002-10-01
"59",2002,"ACRE",11,86,2002-11-01
"60",2002,"ACRE",12,1,2002-12-01
"61",2003,"ACRE",1,10,2003-01-01
"62",2003,"ACRE",2,0,2003-02-01
"63",2003,"ACRE",3,0,2003-03-01
"64",2003,"ACRE",4,1,2003-04-01
"65",2003,"ACRE",5,6,2003-05-01
"66",2003,"ACRE",6,0,2003-06-01
"67",2003,"ACRE",7,168,2003-07-01
"68",2003,"ACRE",8,1976,2003-08-01
"69",2003,"ACRE",9,3942,2003-09-01
"70",2003,"ACRE",10,740,2003-10-01
"71",2003,"ACRE",11,15,2003-11-01
"72",2003,"ACRE",12,1,2003-12-01
"73",2004,"ACRE",1,0,2004-01-01
"74",2004,"ACRE",2,3,2004-02-01
"75",2004,"ACRE",3,0,2004-03-01
"76",2004,"ACRE",4,2,2004-04-01
"77",2004,"ACRE",5,7,2004-05-01
"78",2004,"ACRE",6,5,2004-06-01
"79",2004,"ACRE",7,42,2004-07-01
"80",2004,"ACRE",8,645,2004-08-01
"81",2004,"ACRE",9,1978,2004-09-01
"82",2004,"ACRE",10,461,2004-10-01
"83",2004,"ACRE",11,10,2004-11-01
"84",2004,"ACRE",12,7,2004-12-01
"85",2005,"ACRE",1,12,2005-01-01
"86",2005,"ACRE",2,0,2005-02-01
"87",2005,"ACRE",3,3,2005-03-01
"88",2005,"ACRE",4,1,2005-04-01
"89",2005,"ACRE",5,2,2005-05-01
"90",2005,"ACRE",6,27,2005-06-01
"91",2005,"ACRE",7,368,2005-07-01
"92",2005,"ACRE",8,4198,2005-08-01
"93",2005,"ACRE",9,4253,2005-09-01
"94",2005,"ACRE",10,547,2005-10-01
"95",2005,"ACRE",11,14,2005-11-01
"96",2005,"ACRE",12,2,2005-12-01
"97",2006,"ACRE",1,4,2006-01-01
"98",2006,"ACRE",2,0,2006-02-01
"99",2006,"ACRE",3,0,2006-03-01
"100",2006,"ACRE",4,0,2006-04-01
"101",2006,"ACRE",5,8,2006-05-01
"102",2006,"ACRE",6,1,2006-06-01
"103",2006,"ACRE",7,33,2006-07-01
"104",2006,"ACRE",8,839,2006-08-01
"105",2006,"ACRE",9,2370,2006-09-01
"106",2006,"ACRE",10,316,2006-10-01
"107",2006,"ACRE",11,18,2006-11-01
"108",2006,"ACRE",12,0,2006-12-01
"109",2007,"ACRE",1,0,2007-01-01
"110",2007,"ACRE",2,5,2007-02-01
"111",2007,"ACRE",3,2,2007-03-01
"112",2007,"ACRE",4,0,2007-04-01
"113",2007,"ACRE",5,1,2007-05-01
"114",2007,"ACRE",6,4,2007-06-01
"115",2007,"ACRE",7,29,2007-07-01
"116",2007,"ACRE",8,960,2007-08-01
"117",2007,"ACRE",9,2080,2007-09-01
"118",2007,"ACRE",10,203,2007-10-01
"119",2007,"ACRE",11,7,2007-11-01
"120",2007,"ACRE",12,0,2007-12-01
"121",2008,"ACRE",1,0,2008-01-01
"122",2008,"ACRE",2,0,2008-02-01
"123",2008,"ACRE",3,0,2008-03-01
"124",2008,"ACRE",4,0,2008-04-01
"125",2008,"ACRE",5,0,2008-05-01
"126",2008,"ACRE",6,0,2008-06-01
"127",2008,"ACRE",7,41,2008-07-01
"128",2008,"ACRE",8,445,2008-08-01
"129",2008,"ACRE",9,1666,2008-09-01
"130",2008,"ACRE",10,652,2008-10-01
"131",2008,"ACRE",11,4,2008-11-01
"132",2008,"ACRE",12,0,2008-12-01
"133",2009,"ACRE",1,0,2009-01-01
"134",2009,"ACRE",2,2,2009-02-01
"135",2009,"ACRE",3,1,2009-03-01
"136",2009,"ACRE",4,0,2009-04-01
"137",2009,"ACRE",5,3,2009-05-01
"138",2009,"ACRE",6,0,2009-06-01
"139",2009,"ACRE",7,31,2009-07-01
"140",2009,"ACRE",8,194,2009-08-01
"141",2009,"ACRE",9,1265,2009-09-01
"142",2009,"ACRE",10,565,2009-10-01
"143",2009,"ACRE",11,33,2009-11-01
"144",2009,"ACRE",12,1,2009-12-01
"145",2010,"ACRE",1,1,2010-01-01
"146",2010,"ACRE",2,0,2010-02-01
"147",2010,"ACRE",3,0,2010-03-01
"148",2010,"ACRE",4,3,2010-04-01
"149",2010,"ACRE",5,9,2010-05-01
"150",2010,"ACRE",6,1,2010-06-01
"151",2010,"ACRE",7,126,2010-07-01
"152",2010,"ACRE",8,1682,2010-08-01
"153",2010,"ACRE",9,2531,2010-09-01
"154",2010,"ACRE",10,292,2010-10-01
"155",2010,"ACRE",11,39,2010-11-01
"156",2010,"ACRE",12,0,2010-12-01
"157",2011,"ACRE",1,0,2011-01-01
"158",2011,"ACRE",2,0,2011-02-01
"159",2011,"ACRE",3,0,2011-03-01
"160",2011,"ACRE",4,2,2011-04-01
"161",2011,"ACRE",5,3,2011-05-01
"162",2011,"ACRE",6,10,2011-06-01
"163",2011,"ACRE",7,93,2011-07-01
"164",2011,"ACRE",8,425,2011-08-01
"165",2011,"ACRE",9,1204,2011-09-01
"166",2011,"ACRE",10,97,2011-10-01
"167",2011,"ACRE",11,74,2011-11-01
"168",2011,"ACRE",12,4,2011-12-01
"169",2012,"ACRE",1,0,2012-01-01
"170",2012,"ACRE",2,0,2012-02-01
"171",2012,"ACRE",3,1,2012-03-01
"172",2012,"ACRE",4,1,2012-04-01
"173",2012,"ACRE",5,3,2012-05-01
"174",2012,"ACRE",6,7,2012-06-01
"175",2012,"ACRE",7,71,2012-07-01
"176",2012,"ACRE",8,739,2012-08-01
"177",2012,"ACRE",9,1996,2012-09-01
"178",2012,"ACRE",10,348,2012-10-01
"179",2012,"ACRE",11,13,2012-11-01
"180",2012,"ACRE",12,1,2012-12-01
"181",2013,"ACRE",1,0,2013-01-01
"182",2013,"ACRE",2,0,2013-02-01
"183",2013,"ACRE",3,2,2013-03-01
"184",2013,"ACRE",4,19,2013-04-01
"185",2013,"ACRE",5,4,2013-05-01
"186",2013,"ACRE",6,8,2013-06-01
"187",2013,"ACRE",7,54,2013-07-01
"188",2013,"ACRE",8,679,2013-08-01
"189",2013,"ACRE",9,2136,2013-09-01
"190",2013,"ACRE",10,258,2013-10-01
"191",2013,"ACRE",11,79,2013-11-01
"192",2013,"ACRE",12,3,2013-12-01
"193",2014,"ACRE",1,0,2014-01-01
"194",2014,"ACRE",2,0,2014-02-01
"195",2014,"ACRE",3,1,2014-03-01
"196",2014,"ACRE",4,7,2014-04-01
"197",2014,"ACRE",5,1,2014-05-01
"198",2014,"ACRE",6,17,2014-06-01
"199",2014,"ACRE",7,60,2014-07-01
"200",2014,"ACRE",8,1100,2014-08-01
"201",2014,"ACRE",9,2175,2014-09-01
"202",2014,"ACRE",10,406,2014-10-01
"203",2014,"ACRE",11,56,2014-11-01
"204",2014,"ACRE",12,6,2014-12-01
"205",2015,"ACRE",1,1,2015-01-01
"206",2015,"ACRE",2,2,2015-02-01
"207",2015,"ACRE",3,2,2015-03-01
"208",2015,"ACRE",4,3,2015-04-01
"209",2015,"ACRE",5,2,2015-05-01
"210",2015,"ACRE",6,40,2015-06-01
"211",2015,"ACRE",7,109,2015-07-01
"212",2015,"ACRE",8,1397,2015-08-01
"213",2015,"ACRE",9,2928,2015-09-01
"214",2015,"ACRE",10,905,2015-10-01
"215",2015,"ACRE",11,115,2015-11-01
"216",2015,"ACRE",12,8,2015-12-01
"217",2016,"ACRE",1,12,2016-01-01
"218",2016,"ACRE",2,5,2016-02-01
"219",2016,"ACRE",3,0,2016-03-01
"220",2016,"ACRE",4,0,2016-04-01
"221",2016,"ACRE",5,21,2016-05-01
"222",2016,"ACRE",6,87,2016-06-01
"223",2016,"ACRE",7,533,2016-07-01
"224",2016,"ACRE",8,2188,2016-08-01
"225",2016,"ACRE",9,3586,2016-09-01
"226",2016,"ACRE",10,509,2016-10-01
"227",2016,"ACRE",11,46,2016-11-01
"228",2016,"ACRE",12,6,2016-12-01
"229",2017,"ACRE",1,0,2017-01-01
"230",2017,"ACRE",2,1,2017-02-01
"231",2017,"ACRE",3,0,2017-03-01
"232",2017,"ACRE",4,1,2017-04-01
"233",2017,"ACRE",5,10,2017-05-01
"234",2017,"ACRE",6,45,2017-06-01
"235",2017,"ACRE",7,457,2017-07-01
"236",2017,"ACRE",8,1493,2017-08-01
"237",2017,"ACRE",9,3429,2017-09-01
"238",2017,"ACRE",10,1508,2017-10-01
"239",2017,"ACRE",11,98,2017-11-01
"240",1998,"ALAGOAS",1,0,1998-01-01
"241",1998,"ALAGOAS",2,0,1998-02-01
"242",1998,"ALAGOAS",3,0,1998-03-01
"243",1998,"ALAGOAS",4,0,1998-04-01
"244",1998,"ALAGOAS",5,0,1998-05-01
"245",1998,"ALAGOAS",6,0,1998-06-01
"246",1998,"ALAGOAS",7,0,1998-07-01
"247",1998,"ALAGOAS",8,1,1998-08-01
"248",1998,"ALAGOAS",9,14,1998-09-01
"249",1998,"ALAGOAS",10,20,1998-10-01
"250",1998,"ALAGOAS",11,19,1998-11-01
"251",1998,"ALAGOAS",12,32,1998-12-01
"252",1999,"ALAGOAS",1,58,1999-01-01
"253",1999,"ALAGOAS",2,20,1999-02-01
"254",1999,"ALAGOAS",3,52,1999-03-01
"255",1999,"ALAGOAS",4,4,1999-04-01
"256",1999,"ALAGOAS",5,1,1999-05-01
"257",1999,"ALAGOAS",6,0,1999-06-01
"258",1999,"ALAGOAS",7,0,1999-07-01
"259",1999,"ALAGOAS",8,3,1999-08-01
"260",1999,"ALAGOAS",9,3,1999-09-01
"261",1999,"ALAGOAS",10,4,1999-10-01
"262",1999,"ALAGOAS",11,15,1999-11-01
"263",1999,"ALAGOAS",12,12,1999-12-01
"264",2000,"ALAGOAS",1,11,2000-01-01
"265",2000,"ALAGOAS",2,16,2000-02-01
"266",2000,"ALAGOAS",3,32,2000-03-01
"267",2000,"ALAGOAS",4,20,2000-04-01
"268",2000,"ALAGOAS",5,1,2000-05-01
"269",2000,"ALAGOAS",6,0,2000-06-01
"270",2000,"ALAGOAS",7,0,2000-07-01
"271",2000,"ALAGOAS",8,4,2000-08-01
"272",2000,"ALAGOAS",9,22,2000-09-01
"273",2000,"ALAGOAS",10,13,2000-10-01
"274",2000,"ALAGOAS",11,2,2000-11-01
"275",2000,"ALAGOAS",12,2,2000-12-01
"276",2001,"ALAGOAS",1,5,2001-01-01
"277",2001,"ALAGOAS",2,4,2001-02-01
"278",2001,"ALAGOAS",3,0,2001-03-01
"279",2001,"ALAGOAS",4,0,2001-04-01
"280",2001,"ALAGOAS",5,2,2001-05-01
"281",2001,"ALAGOAS",6,2,2001-06-01
"282",2001,"ALAGOAS",7,0,2001-07-01
"283",2001,"ALAGOAS",8,1,2001-08-01
"284",2001,"ALAGOAS",9,5,2001-09-01
"285",2001,"ALAGOAS",10,15,2001-10-01
"286",2001,"ALAGOAS",11,22,2001-11-01
"287",2001,"ALAGOAS",12,30,2001-12-01
"288",2002,"ALAGOAS",1,12,2002-01-01
"289",2002,"ALAGOAS",2,15,2002-02-01
"290",2002,"ALAGOAS",3,27,2002-03-01
"291",2002,"ALAGOAS",4,6,2002-04-01
"292",2002,"ALAGOAS",5,1,2002-05-01
"293",2002,"ALAGOAS",6,0,2002-06-01
"294",2002,"ALAGOAS",7,5,2002-07-01
"295",2002,"ALAGOAS",8,3,2002-08-01
"296",2002,"ALAGOAS",9,14,2002-09-01
"297",2002,"ALAGOAS",10,30,2002-10-01
"298",2002,"ALAGOAS",11,50,2002-11-01
